# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
140.03,0.4374,5.518
140.47,0.4389,4.138
140.89,0.44055,4.828
141.32,0.4424,3.908
141.875,0.44465,4.828
142.42,0.4469,8.966
142.87,0.44855,8.506
143.295,0.45015,7.587
143.705,0.4518,8.506
144.005,0.45305,7.587
144.22,0.454,9.196
144.565,0.45585,7.817
144.995,0.4578,4.368
145.425,0.4591,2.989
145.855,0.4607,2.529
146.285,0.46265,5.288
146.72,0.4646,5.288
147.115,0.4664,7.127
147.545,0.4684,8.046
147.95,0.47,6.667
148.375,0.4719,8.046
148.87,0.4744,6.667
149.28,0.47645,7.127
149.715,0.4785,4.598
150.175,0.48125,3.908
150.6,0.48375,8.736
151.025,0.4854,4.828
151.445,0.48735,5.288
151.87,0.48925,5.518
152.29,0.49075,7.817
152.79,0.49255,5.747
154.15,0.4985,8.736
154.42,0.4999,4.828
154.86,0.50185,2.759
155.34,0.5036,7.817
155.75,0.50535,5.288
156.12,0.50725,1.839
156.545,0.50915,5.288
156.925,0.51045,1.839
157.24,0.512,4.828
157.6,0.5138,3.908
158.025,0.51535,7.127
158.45,0.51695,8.506
158.875,0.5187,9.196
159.3,0.5202,3.219
159.725,0.52175,9.196
160.015,0.5231,2.989
160.225,0.524,2.299
160.57,0.5252,4.368
160.99,0.52695,3.908
161.415,0.52885,5.288
161.84,0.5305,2.989
162.26,0.5321,2.529
162.68,0.5337,3.908
163.1,0.53545,5.518
163.52,0.5373,4.368
163.94,0.539,5.747
164.36,0.5406,2.529
164.78,0.54245,6.437
165.2,0.54455,2.069
165.62,0.5464,4.598
166.04,0.54825,4.138
166.46,0.5501,5.977
166.88,0.5517,4.138
167.797,0.5557,3.246
168.261,0.5573,3.465
168.725,0.55875,3.694
169.189,0.5606,3.281
169.653,0.56265,3.63
170.116,0.5647,2.881
170.579,0.56675,5.559
171.042,0.5688,5.322
171.506,0.5708,4.752
171.97,0.5725,4.069
172.433,0.57425,4.069
172.895,0.57615,3.825
173.358,0.5783,2.706
173.821,0.5804,4.357
174.284,0.58235,4.761
174.746,0.58415,3.766
175.209,0.5858,2.635
175.671,0.5876,3.92
176.133,0.58965,6.837
176.596,0.59195,3.23
177.059,0.59405,3.048
177.521,0.5959,6.564
177.983,0.5977,2.844
178.445,0.59975,4.998
178.906,0.602,4.515
179.369,0.6039,3.442
179.831,0.6056,3.225
180.292,0.60755,4.722
180.753,0.6095,4.06
181.214,0.61145,5.127
181.675,0.61345,4.476
182.136,0.6153,5.973
182.597,0.61725,5.722
183.058,0.61935,3.012
183.518,0.62145,3.391
183.98,0.6233,5.766
184.44,0.62525,3.253
184.9,0.62725,4.513
185.361,0.6293,3.736
185.821,0.6315,3.292
186.281,0.6333,5.288
186.742,0.63525,2.759
187.202,0.6373,7.75
187.662,0.63925,4.513
188.123,0.6413,4.715
188.583,0.64335,3.819
189.042,0.64515,3.734
189.502,0.64705,7.713
189.962,0.64935,2.973
190.422,0.6514,2.671
190.881,0.6532,3.209
191.339,0.6552,3.825
191.798,0.65745,3.253
192.257,0.6595,9.309
192.716,0.6616,3.419
193.174,0.66355,4.258
193.633,0.6653,4.552
194.092,0.66735,5.196
194.55,0.6694,3.547
195.009,0.6714,2.963
195.468,0.67335,5.796
195.926,0.6753,2.267
196.384,0.67715,4.538
196.843,0.679,4.522
197.301,0.68105,3.06
197.758,0.6832,3.605
198.216,0.68535,3.175
198.674,0.6874,4.281
199.132,0.6894,4.819
199.59,0.69135,6.193
200.048,0.6934,6.621
200.505,0.6955,2.681
200.963,0.69785,7.285
201.419,0.70015,4.122
201.875,0.70215,2.763
202.332,0.70415,3.237
202.788,0.706,2.72
203.244,0.70785,5.722
203.7,0.7098,2.892
204.156,0.71185,3.743
204.612,0.714,3.265
205.068,0.7161,6.412
205.524,0.7179,4.161
205.98,0.7199,4.589
206.435,0.7221,3.019
206.891,0.72415,4.416
207.346,0.7263,3.306
207.802,0.72885,4.986
208.257,0.7313,3.423
208.713,0.7333,3.209
209.168,0.73525,4.462
209.624,0.73715,6.77
210.078,0.7395,3.267
210.534,0.74225,3.844
210.988,0.74455,5.855
211.444,0.74655,3.593
211.898,0.74845,4.311
212.352,0.75035,4.504
212.808,0.75255,4.014
213.262,0.75475,4.74
213.716,0.75695,5.876
214.171,0.75905,3.568
214.625,0.7611,6.485
215.08,0.76315,6.382
215.534,0.76515,4.09
215.988,0.76725,9.734
216.442,0.7694,3.655
216.897,0.7715,4.214
217.351,0.7736,5.115
217.804,0.77575,3.674
218.258,0.7782,2.685
218.712,0.7804,3.506
219.166,0.7823,5.159
219.619,0.78455,7.304
220.073,0.7868,5.72
220.526,0.78885,3.267
220.98,0.79075,6.021
221.434,0.7926,4.508
221.887,0.7944,3.685
222.339,0.7965,3.674
222.793,0.7987,7.262
